City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
291,safford,32.834,-109.7076,19.51,14,0,7.2,US,1679967058
292,xichang,27.8964,102.2634,11.59,77,99,1.75,CN,1679967230
293,la ronge,55.1001,-105.2842,-10.86,34,40,4.12,CA,1679967230
294,sharjah,25.3573,55.4033,23.99,83,40,5.14,AE,1679967148
295,aklavik,68.2191,-135.0107,1.63,85,100,1.25,CA,1679967231
296,micco,27.8806,-80.5003,26.16,84,4,5.59,US,1679967232
297,sabang,5.8933,95.3214,28.34,76,95,4.66,ID,1679967232
298,celestun,20.8667,-90.4,25.64,77,0,4.99,MX,1679967233
299,pisco,-13.7,-76.2167,23.03,88,75,4.63,PE,1679967233
300,kupino,54.3663,77.2981,1.45,100,100,3.48,RU,1679967234
301,kavaratti,10.5669,72.642,27.25,72,27,6.15,IN,1679967234
302,newport,51.5877,-2.9984,7.41,87,100,3.82,GB,1679967235
303,kenora,49.8167,-94.4337,-8.46,38,0,1.54,CA,1679967235
304,great falls,47.5002,-111.3008,1.66,73,40,8.23,US,1679967090
305,clarence town,-32.5833,151.7833,27.19,39,100,2.23,AU,1679967236
306,silver city,32.7701,-108.2803,13.98,16,0,4.12,US,1679967131
307,cabedelo,-6.9811,-34.8339,26.37,75,100,3.85,BR,1679967237
308,bone,51.9669,12.1396,2.72,80,71,7.33,DE,1679967237
309,tacna,-18.0056,-70.2483,21.11,68,0,1.54,PE,1679967238
310,springbok,-29.6643,17.8865,17.58,34,0,1.21,ZA,1679967238
311,san rafael del sur,11.8485,-86.4384,27.54,56,20,7.37,NI,1679967239
312,pitimbu,-7.4706,-34.8086,26.33,75,73,3.58,BR,1679967239
313,sanlucar la mayor,37.3871,-6.2011,15.43,55,2,1.83,ES,1679967240
314,santa barbara,34.7333,-120.0343,13.31,36,0,4.63,US,1679967240
315,auki,-8.7676,160.7034,30.09,64,100,1.81,SB,1679967241
316,ixtapa,20.7,-105.2,23.57,64,0,4.63,MX,1679967241
317,honiara,-9.4333,159.95,30.28,68,100,3.23,SB,1679967241
318,vostochnyy,55.8167,37.8667,1.1,94,99,1.1,RU,1679967242
319,fairlie,55.756,-4.8556,5.12,86,100,3.25,GB,1679967242
320,ahuimanu,21.4447,-157.8378,27.14,78,100,3.09,US,1679967243
321,plymouth,41.8334,-70.8328,7.81,79,100,2.06,US,1679967243
322,touros,-5.1989,-35.4608,25.2,87,83,4.5,BR,1679967208
323,show low,34.2542,-110.0298,6.15,29,0,5.14,US,1679966964
324,port keats,-14.25,129.55,31.66,43,23,2.66,AU,1679967244
325,faya,18.3851,42.4509,13.06,81,89,0.7,SA,1679967245
326,francisco sa,-16.4758,-43.4883,26.08,70,39,2.46,BR,1679967245
327,dajabon,19.5488,-71.7083,23.07,87,3,1.2,DO,1679967245
328,hovd,48.0056,91.6419,5.29,27,9,0.89,MN,1679967246
329,vila franca do campo,37.7167,-25.4333,16.23,90,59,6.16,PT,1679967246
330,labrea,-7.2586,-64.7981,22.95,94,99,0.7,BR,1679967247
331,tadine,-21.55,167.8833,27.04,78,100,6.27,NC,1679967248
332,aneho,6.2333,1.6,27.61,75,60,3.67,TG,1679967248
333,mujiayingzi,42.1167,118.7833,11.21,16,0,3.2,CN,1679967249
334,quatre cocos,-20.2078,57.7625,23.94,81,0,0.8,MU,1679967249
335,moramanga,-18.9333,48.2,18.78,99,99,0.6,MG,1679967250
336,margate,51.3813,1.3862,5.73,74,83,2.68,GB,1679967252
337,voskevan,41.1202,45.0653,5.8,81,1,1.78,AM,1679967252
338,ponta delgada,37.7333,-25.6667,16.4,88,40,9.26,PT,1679967252
339,havelock,34.8791,-76.9013,20.99,90,0,0.0,US,1679967253
340,chumikan,54.7183,135.315,-0.61,82,8,6.38,RU,1679967253
341,pointe michel,15.25,-61.3833,24.16,65,9,7.64,DM,1679967254
342,catu,-12.3531,-38.3789,21.26,90,27,0.23,BR,1679967254
343,svetlyy,54.675,20.1347,-1.97,62,45,3.14,RU,1679967255
344,pacific grove,36.6177,-121.9166,12.97,70,0,5.66,US,1679967255
345,san andres,12.5847,-81.7006,27.01,74,20,6.17,CO,1679967256
346,constitucion,-35.3333,-72.4167,11.27,82,2,4.47,CL,1679967257
347,sao joao da barra,-21.6403,-41.0511,23.7,93,87,3.94,BR,1679967258
348,sao filipe,14.8961,-24.4956,22.89,75,3,3.65,CV,1679967258
349,sur,22.5667,59.5289,25.1,59,0,4.57,OM,1679967258
350,narsaq,60.9167,-46.05,0.12,71,3,4.22,GL,1679967259
351,oktyabrskoye,43.0645,44.7417,3.08,100,20,2.0,RU,1679967259
352,san vicente de canete,-13.0751,-76.3835,23.52,83,100,1.68,PE,1679967260
353,mecca,21.4267,39.8261,19.68,52,0,2.49,SA,1679967165
354,norman wells,65.282,-126.8329,-2.98,68,75,3.09,CA,1679967261
355,mayo,38.8876,-76.5119,13.4,81,0,2.06,US,1679967261
356,fallon,39.4735,-118.7774,10.93,18,75,6.69,US,1679967030
